"","V1"
"884",1
"885",12
"886",12
"887",9
"888",19
"889",12
"890",1
"891",1
"892",12
"893",1
"894",1
"895",1
"896",12
"897",1
"898",1
"899",7
"900",12
"901",12
"902",1
"903",12
"904",12
"905",2
"906",6
"907",12
"908",2
"909",1
"910",16
"911",19
"912",6
"913",16
"914",6
"915",2
"916",2
"917",12
"918",1
"919",1
"920",1
"921",19
"922",1
"923",9
"924",1
"925",17
"926",16
"927",1
"928",1
"929",6
"930",19
"931",1
"932",1
"933",19
"934",12
"935",12
"936",19
"937",1
"938",17
"939",6
"940",1
"941",20
"942",1
"943",2
"944",1
"945",1
"946",12
"947",1
"948",1
"949",6
"950",1
"951",16
"952",16
"953",1
"954",9
"955",1
"956",2
"957",1
"958",1
"959",9
"960",1
"961",1
"962",16
"963",1
"964",12
"965",2
"966",4
"967",1
"968",1
"969",1
"970",1
"971",12
"972",1
"973",19
"974",1
"975",1
"976",1
"977",1
"978",1
"979",1
"980",5
"981",1
"982",19
"983",1
"984",6
"985",16
"986",20
"987",1
"988",9
"989",9
"990",5
"991",1
"992",1
"993",4
"994",1
"995",1
"996",16
"997",2
"998",5
"999",16
"1000",12
"1001",1
"1002",1
"1003",1
"1004",19
"1005",2
"1006",6
"1007",12
"1008",19
"1009",1
"1010",11
"1011",16
"1012",1
"1013",1
"1014",1
"1015",1
"1016",2
"1017",2
"1018",2
"1019",12
"1020",1
"1021",9
"1022",1
"1023",1
"1024",7
"1025",1
"1026",9
"1027",1
"1028",1
"1029",1
"1030",3
"1031",12
"1032",1
"1033",1
"1034",16
"1035",16
"1036",17
"1037",20
"1038",1
"1039",9
"1040",12
"1041",1
"1042",1
"1043",12
"1044",17
"1045",1
"1046",9
"1047",1
"1048",9
"1049",1
"1050",1
"1051",20
"1052",1
"1053",1
"1054",5
"1055",16
"1056",17
"1057",19
"1058",6
"1059",1
"1060",1
"1061",16
"1062",1
"1063",13
"1064",1
"1065",19
"1066",11
"1067",1
"1068",12
"1069",20
"1070",2
"1071",1
"1072",1
"1073",2
"1074",1
"1075",9
"1076",12
"1077",1
"1078",2
"1079",2
"1080",2
"1081",2
"1082",2
"1083",1
"1084",2
"1085",1
"1086",2
"1087",12
"1088",2
"1089",1
"1090",16
"1091",2
"1092",9
"1093",13
"1094",1
"1095",20
"1096",2
"1097",6
"1098",1
"1099",5
"1100",2
"1101",13
"1102",1
"1103",17
"1104",9
"1105",1
"1106",1
"1107",1
"1108",1
"1109",1
"1110",12
"1111",1
"1112",16
"1113",17
"1114",1
"1115",1
"1116",1
"1117",1
"1118",1
"1119",1
"1120",2
"1121",2
"1122",1
"1123",1
"1124",2
"1125",19
"1126",17
"1127",19
"1128",1
"1129",1
"1130",2
"1131",1
"1132",17
"1133",1
"1134",1
"1135",1
"1136",1
"1137",12
"1138",1
"1139",2
"1140",2
"1141",9
"1142",1
"1143",16
"1144",19
"1145",20
"1146",1
"1147",1
"1148",5
"1149",2
"1150",1
"1151",9
"1152",6
"1153",2
"1154",3
"1155",12
"1156",19
"1157",9
"1158",1
"1159",12
"1160",5
"1161",2
"1162",1
"1163",9
"1164",1
"1165",1
"1166",16
"1167",1
"1168",12
"1169",20
"1170",1
"1171",1
"1172",2
"1173",2
"1174",1
"1175",12
"1176",1
"1177",1
"1178",17
"1179",12
"1180",6
"1181",12
"1182",1
"1183",16
"1184",1
"1185",4
"1186",1
"1187",1
"1188",1
"1189",1
"1190",16
"1191",6
"1192",9
"1193",1
"1194",1
"1195",1
"1196",2
"1197",1
"1198",4
"1199",1
"1200",5
"1201",9
"1202",9
"1203",2
"1204",2
"1205",1
"1206",1
"1207",10
"1208",1
"1209",5
"1210",2
"1211",9
"1212",9
"1213",1
"1214",19
"1215",1
"1216",1
"1217",12
"1218",9
"1219",1
"1220",16
"1221",1
"1222",17
"1223",1
"1224",9
"1225",16
"1226",9
"1227",2
"1228",1
"1229",1
"1230",9
"1231",1
"1232",1
"1233",1
"1234",17
"1235",2
"1236",1
"1237",1
"1238",1
"1239",6
"1240",1
"1241",1
"1242",2
"1243",1
"1244",16
"1245",1
"1246",12
"1247",19
"1248",1
"1249",1
"1250",1
"1251",1
"1252",1
"1253",1
"1254",16
"1255",1
"1256",12
"1257",12
"1258",13
"1259",9
"1260",1
"1261",17
"1262",9
"1263",5
"1264",12
"1265",16
"1266",16
"1267",1
"1268",1
"1269",1
"1270",17
"1271",1
"1272",16
"1273",1
"1274",1
"1275",12
"1276",12
"1277",1
"1278",12
"1279",9
"1280",2
"1281",1
"1282",6
"1283",1
"1284",1
"1285",19
"1286",10
"1287",1
"1288",17
"1289",2
"1290",2
"1291",1
"1292",1
"1293",1
"1294",1
"1295",1
"1296",18
"1297",1
"1298",16
"1299",1
"1300",13
"1301",1
"1302",1
"1303",2
"1304",1
"1305",4
"1306",1
"1307",1
"1308",1
"1309",1
"1310",12
"1311",1
"1312",10
"1313",20
"1314",16
"1315",16
"1316",17
"1317",1
"1318",1
"1319",1
"1320",2
"1321",4
"1322",9
"1323",6
"1324",16
"1325",12
"1326",1
"1327",2
"1328",5
"1329",1
"1330",1
"1331",1
"1332",1
"1333",9
"1334",1
"1335",1
"1336",2
"1337",1
"1338",19
"1339",1
"1340",2
"1341",1
"1342",16
"1343",16
"1344",1
"1345",19
"1346",12
"1347",16
"1348",12
"1349",1
"1350",16
"1351",1
"1352",1
"1353",1
"1354",1
"1355",1
"1356",1
"1357",9
"1358",1
"1359",9
"1360",16
"1361",20
"1362",13
"1363",1
"1364",1
"1365",1
"1366",1
"1367",1
"1368",1
"1369",12
"1370",16
"1371",12
"1372",1
"1373",16
"1374",1
"1375",1
"1376",1
"1377",1
"1378",17
"1379",1
"1380",10
"1381",16
"1382",5
"1383",1
"1384",9
"1385",2
"1386",1
"1387",1
"1388",1
"1389",1
"1390",1
"1391",20
"1392",1
"1393",1
"1394",1
"1395",2
"1396",1
"1397",1
"1398",2
"1399",1
"1400",19
"1401",2
"1402",1
"1403",1
"1404",1
"1405",1
"1406",5
"1407",1
"1408",20
"1409",12
"1410",12
"1411",12
"1412",7
"1413",1
"1414",1
"1415",4
"1416",12
"1417",9
"1418",2
"1419",1
"1420",1
"1421",1
"1422",1
"1423",1
"1424",1
"1425",1
"1426",12
"1427",6
"1428",9
"1429",3
"1430",4
"1431",2
"1432",12
"1433",1
"1434",1
"1435",20
"1436",5
"1437",19
"1438",1
"1439",1
"1440",1
"1441",6
"1442",1
"1443",9
"1444",1
"1445",1
"1446",19
"1447",1
"1448",20
"1449",12
"1450",2
"1451",1
"1452",1
"1453",2
"1454",9
"1455",1
"1456",9
"1457",1
"1458",7
"1459",2
"1460",1
"1461",4
"1462",6
"1463",17
"1464",16
"1465",17
"1466",1
"1467",1
"1468",16
"1469",9
"1470",6
"1471",6
"1472",1
"1473",1
"1474",6
"1475",17
"1476",1
"1477",5
"1478",12
"1479",2
"1480",1
"1481",5
"1482",1
"1483",5
"1484",1
"1485",1
"1486",5
"1487",1
"1488",1
"1489",7
"1490",12
"1491",1
"1492",1
"1493",12
"1494",20
"1495",12
"1496",12
"1497",5
"1498",1
"1499",16
"1500",1
"1501",9
"1502",1
"1503",12
"1504",1
"1505",1
"1506",1
"1507",1
"1508",19
"1509",9
"1510",16
"1511",4
"1512",1
"1513",1
"1514",1
"1515",12
"1516",1
"1517",1
"1518",2
"1519",1
"1520",2
"1521",6
"1522",6
"1523",18
"1524",1
"1525",5
"1526",13
"1527",9
"1528",1
"1529",9
"1530",6
"1531",1
"1532",17
"1533",1
"1534",9
"1535",1
"1536",1
"1537",19
"1538",1
"1539",1
"1540",19
"1541",19
"1542",1
"1543",19
"1544",2
"1545",18
"1546",1
"1547",5
"1548",6
"1549",11
"1550",2
"1551",1
"1552",4
"1553",6
"1554",1
"1555",1
"1556",9
"1557",20
"1558",1
"1559",1
"1560",1
"1561",9
"1562",1
"1563",1
"1564",1
"1565",1
"1566",12
"1567",1
"1568",1
"1569",12
"1570",1
"1571",1
"1572",1
"1573",2
"1574",1
"1575",1
"1576",7
"1577",1
"1578",12
"1579",16
"1580",1
"1581",19
"1582",1
"1583",17
"1584",12
"1585",1
"1586",1
"1587",5
"1588",1
"1589",20
"1590",1
"1591",17
"1592",12
"1593",5
"1594",17
"1595",19
"1596",1
"1597",2
"1598",12
"1599",1
"1600",12
"1601",1
"1602",1
"1603",1
"1604",2
"1605",9
"1606",1
"1607",1
"1608",12
"1609",19
"1610",1
"1611",1
"1612",7
"1613",1
"1614",1
"1615",2
"1616",2
"1617",19
"1618",1
"1619",1
"1620",12
"1621",9
"1622",19
"1623",1
"1624",17
"1625",12
"1626",1
"1627",16
"1628",1
"1629",12
"1630",1
"1631",9
"1632",1
"1633",7
"1634",1
"1635",9
"1636",2
"1637",17
"1638",2
"1639",1
"1640",1
"1641",12
"1642",2
"1643",5
"1644",12
"1645",1
"1646",1
"1647",1
"1648",19
"1649",1
"1650",1
"1651",19
"1652",17
"1653",1
"1654",12
"1655",1
"1656",12
"1657",12
"1658",1
"1659",1
"1660",16
"1661",1
"1662",16
"1663",2
"1664",12
"1665",18
"1666",1
"1667",17
"1668",1
"1669",6
"1670",1
"1671",12
"1672",12
"1673",1
"1674",1
"1675",2
"1676",1
"1677",19
"1678",6
"1679",1
"1680",19
"1681",12
"1682",12
"1683",12
"1684",1
"1685",1
"1686",1
"1687",9
"1688",1
"1689",2
"1690",12
"1691",16
"1692",1
"1693",16
"1694",12
"1695",1
"1696",1
"1697",7
"1698",12
"1699",1
"1700",20
"1701",1
"1702",1
"1703",1
"1704",12
"1705",1
"1706",2
"1707",1
"1708",1
"1709",1
"1710",1
"1711",9
"1712",19
"1713",6
"1714",5
"1715",2
"1716",1
"1717",1
"1718",12
"1719",5
"1720",1
"1721",1
"1722",1
"1723",1
"1724",19
"1725",12
"1726",1
"1727",1
"1728",1
"1729",12
"1730",6
"1731",11
"1732",12
"1733",12
"1734",7
"1735",16
"1736",12
"1737",1
"1738",16
"1739",19
"1740",5
"1741",1
"1742",1
"1743",11
"1744",1
"1745",2
"1746",12
"1747",1
"1748",5
"1749",1
"1750",1
"1751",16
"1752",1
"1753",1
"1754",1
"1755",19
"1756",5
"1757",5
"1758",1
"1759",6
"1760",13
"1761",3
"1762",12
"1763",1
"1764",3
"1765",1
"1766",1
"1767",12
"1768",1
"1769",1
"1770",17
"1771",1
"1772",16
"1773",5
"1774",1
"1775",12
"1776",1
"1777",1
"1778",1
"1779",1
"1780",1
"1781",12
"1782",17
"1783",12
"1784",11
"1785",5
"1786",1
"1787",17
"1788",19
"1789",2
"1790",1
"1791",5
"1792",1
"1793",1
"1794",1
"1795",12
"1796",1
"1797",18
"1798",6
"1799",15
"1800",1
"1801",5
"1802",1
"1803",1
"1804",1
"1805",16
"1806",12
"1807",1
"1808",1
"1809",9
"1810",1
"1811",1
"1812",1
"1813",12
"1814",2
"1815",2
"1816",1
"1817",1
"1818",1
"1819",19
"1820",1
"1821",12
"1822",19
"1823",1
"1824",17
"1825",1
"1826",1
"1827",1
"1828",12
"1829",1
"1830",17
"1831",12
"1832",12
"1833",19
"1834",19
"1835",17
"1836",12
"1837",2
"1838",17
"1839",3
"1840",1
"1841",12
"1842",5
"1843",1
"1844",17
"1845",1
"1846",1
"1847",1
"1848",1
"1849",1
"1850",1
"1851",17
"1852",1
"1853",19
"1854",1
"1855",1
"1856",17
"1857",6
"1858",12
"1859",12
"1860",1
"1861",12
"1862",2
"1863",1
"1864",1
"1866",2
"1867",1
"1868",9
"1869",12
"1870",5
"1871",12
"1872",19
"1873",1
"1874",18
"1875",12
"1876",9
"1877",19
"1878",2
"1879",9
"1880",19
"1881",7
"1882",12
"1883",9
"1884",2
"1885",7
"1886",19
"1887",19
"1888",9
"1889",9
"1890",11
"1891",12
"1892",19
"1893",2
"1894",12
"1895",9
"1896",9
"1897",9
"1898",9
"1899",19
"1900",12
"1901",9
"1902",1
"1903",8
"1904",10
"1905",2
"1906",12
"1907",12
"1908",2
"1909",2
"1910",12
"1911",5
"1912",2
"1913",7
"1914",2
"1915",6
"1916",2
"1917",2
"1918",13
"1919",12
"1920",2
"1921",4
"1922",1
"1923",4
"1924",12
"1925",19
"1926",9
"1927",9
"1928",1
"1929",2
"1930",19
"1931",9
"1932",6
"1933",10
"1934",12
"1935",12
"1936",9
"1937",9
"1938",2
"1939",3
"1940",5
"1941",19
"1942",7
"1943",13
"1944",2
"1945",2
"1946",17
"1947",9
"1948",1
"1949",9
"1950",12
"1951",6
"1952",1
"1953",12
"1954",1
"1955",19
"1956",12
"1957",19
"1958",19
"1959",1
"1960",12
"1961",9
"1962",12
"1963",6
"1964",19
"1965",9
"1966",7
"1967",9
"1968",12
"1969",1
"1970",12
"1971",16
"1972",19
"1973",16
"1974",16
"1975",1
"1976",20
"1977",2
"1978",12
"1979",16
"1980",7
"1981",17
"1982",2
"1983",13
"1984",19
"1985",1
"1986",2
"1987",1
"1988",1
"1989",19
"1990",19
"1991",17
"1992",2
"1993",1
"1994",19
"1995",10
"1996",12
"1997",17
"1998",7
"1999",12
"2000",16
"2001",2
"2002",4
"2003",12
"2004",12
"2005",1
"2006",12
"2007",1
"2008",18
"2009",12
"2010",1
"2011",1
"2012",2
"2013",1
"2014",19
"2015",12
"2016",12
"2017",9
"2018",20
"2019",19
"2020",12
"2021",1
"2022",16
"2023",12
"2024",19
"2025",13
"2026",6
"2027",16
"2028",12
"2029",19
"2030",19
"2031",2
"2032",7
"2033",12
"2034",17
"2035",9
"2036",6
"2037",12
"2038",1
"2039",1
"2040",19
"2041",1
"2042",9
"2043",9
"2044",1
"2045",9
"2046",16
"2047",2
"2048",2
"2049",2
"2050",6
"2051",9
"2052",19
"2053",9
"2054",12
"2055",2
"2056",2
"2057",6
"2058",1
"2059",9
"2060",12
"2061",1
"2062",17
"2063",5
"2064",2
"2065",12
"2066",12
"2067",9
"2068",12
"2069",6
"2070",12
"2071",19
"2072",6
"2073",12
"2074",14
"2075",9
"2076",19
"2077",6
"2078",5
"2079",13
"2080",2
"2081",12
"2082",9
"2083",9
"2084",2
"2085",13
"2086",2
"2087",9
"2088",2
"2089",19
"2090",2
"2091",12
"2092",9
"2093",1
"2094",19
"2095",9
"2096",12
"2097",1
"2098",12
"2099",2
"2100",7
"2101",2
"2102",19
"2103",9
"2104",2
"2105",3
"2106",19
"2107",12
"2108",20
"2109",12
"2110",12
"2111",1
"2112",16
"2113",19
"2114",20
"2115",9
"2116",12
"2117",9
"2118",9
"2119",7
"2120",1
"2121",2
"2122",16
"2123",1
"2124",9
"2125",9
"2126",2
"2127",9
"2128",1
"2129",1
"2130",9
"2131",2
"2132",6
"2133",1
"2134",20
"2135",1
"2136",12
"2137",12
"2138",2
"2139",2
"2140",2
"2141",5
"2142",6
"2143",2
"2144",2
"2145",19
"2146",2
"2147",19
"2148",20
"2149",1
"2150",1
"2151",16
"2152",9
"2153",9
"2154",19
"2155",2
"2156",1
"2157",12
"2158",19
"2159",5
"2160",12
"2161",11
"2162",4
"2163",12
"2164",19
"2165",12
"2166",9
"2167",2
"2168",2
"2169",10
"2170",9
"2171",2
"2172",9
"2173",19
"2174",19
"2175",17
"2176",2
"2177",13
"2178",9
"2179",12
"2180",17
"2181",12
"2182",2
"2183",3
"2184",12
"2185",10
"2186",20
"2187",18
"2188",4
"2189",9
"2190",2
"2191",12
"2192",6
"2193",6
"2194",9
"2195",1
"2196",12
"2197",2
"2198",19
"2199",2
"2200",9
"2201",17
"2202",2
"2203",9
"2204",12
"2205",9
"2206",5
"2207",7
"2208",20
"2209",1
"2210",1
"2211",1
"2212",12
"2213",5
"2214",9
"2215",12
"2216",12
"2217",19
"2218",1
"2219",13
"2220",9
"2221",12
"2222",9
"2223",6
"2224",9
"2225",4
"2226",9
"2227",6
"2228",16
"2229",19
"2230",2
"2231",1
"2232",12
"2233",7
"2234",1
"2235",1
"2236",9
"2237",19
"2238",9
"2239",9
"2240",2
"2241",2
"2242",2
"2243",1
"2244",12
"2245",9
"2246",2
"2247",1
"2248",3
"2249",12
"2250",2
"2251",2
"2252",12
"2253",5
"2254",1
"2255",1
"2256",1
"2257",12
"2258",12
"2259",9
"2260",9
"2261",9
"2262",1
"2263",1
"2264",19
"2265",2
"2266",12
"2267",12
"2268",9
"2269",19
"2270",17
"2271",3
"2272",12
"2273",12
"2274",19
"2275",19
"2276",7
"2277",12
"2278",4
"2279",12
"2280",17
"2281",9
"2282",1
"2283",1
"2284",1
"2285",2
"2286",1
"2287",1
"2288",1
"2289",12
"2290",1
"2291",12
"2292",16
"2293",1
"2294",12
"2295",12
"2296",1
"2297",1
"2298",12
"2299",12
"2300",12
"2301",12
"2302",12
"2303",1
"2304",6
"2305",12
"2306",9
"2307",2
"2308",12
"2309",9
"2310",5
"2311",19
"2312",1
"2313",9
"2314",12
"2315",4
"2316",12
"2317",19
"2318",19
"2319",9
"2320",12
"2321",9
"2322",12
"2323",12
"2324",5
"2325",16
"2326",4
"2327",13
"2328",19
"2329",6
"2330",19
"2331",19
"2332",19
"2333",2
"2334",4
"2335",18
"2336",19
"2337",2
"2338",9
"2339",9
"2340",1
"2341",2
"2342",9
"2343",9
"2344",1
"2345",12
"2346",12
"2347",2
"2348",2
"2349",9
"2350",19
"2351",2
"2352",9
"2353",12
"2354",2
"2355",9
"2356",5
"2357",6
"2358",1
"2359",12
"2360",5
"2361",1
"2362",19
"2363",1
"2364",12
"2365",19
"2366",6
"2367",12
"2368",13
"2369",19
"2370",12
"2371",12
"2372",12
"2373",1
"2374",19
"2375",19
"2376",6
"2377",12
"2378",12
"2379",5
"2380",17
"2381",12
"2382",12
"2383",19
"2384",19
"2385",6
"2386",19
"2387",12
"2388",4
"2389",19
"2390",19
"2391",1
"2392",9
"2393",1
"2394",12
"2395",19
"2396",12
"2397",1
"2398",13
"2399",12
"2400",12
"2401",1
"2402",1
"2403",2
"2404",2
"2405",12
"2406",12
"2407",12
"2408",17
"2409",12
"2410",12
"2411",12
"2412",9
"2413",12
"2414",12
"2415",12
"2416",6
"2417",6
"2418",12
"2420",9
"2421",9
"2422",9
"2423",17
"2424",9
"2425",9
"2426",9
"2427",2
"2428",2
"2429",9
"2430",12
"2431",4
"2432",9
"2433",17
"2434",9
"2435",2
"2436",10
"2437",9
"2438",19
"2439",9
"2440",5
"2441",19
"2442",9
"2443",9
"2444",4
"2445",19
"2446",19
"2447",9
"2448",9
"2449",18
"2450",9
"2451",4
"2452",4
"2453",17
"2454",9
"2455",9
"2456",2
"2457",12
"2458",2
"2459",9
"2460",9
"2461",16
"2462",16
"2463",16
"2464",9
"2465",12
"2466",20
"2467",12
"2468",10
"2469",9
"2470",7
"2471",9
"2472",2
"2473",2
"2474",9
"2475",16
"2476",4
"2477",4
"2478",9
"2479",16
"2480",2
"2481",12
"2482",12
"2483",6
"2484",4
"2485",4
"2486",10
"2487",10
"2488",10
"2489",7
"2490",10
"2491",16
"2492",16
"2493",10
"2494",6
"2495",12
"2496",9
"2497",9
"2498",9
"2499",9
"2500",17
